Codigo,Apelido,Razao Social,Endereco,Bairro,Cidade,ES,CEP,DDD/TEL/FAX,CNPJ,INSC.Estadual,Contato,Email,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43,order_44,order_45,order_46,order_47,order_48,order_49,order_50,last_order
629,ELLEN BROOK,CONFECCOES DE ROUPAS ELLEN BROOK,"RUA DOS ITALIANOS, 91",BOM RETIRO,SÃO PAULO,SP,01131-000,011 / 3331.5157 / 3222-5577,53.226.064/0003-33,115.216.111.110,,estilo.ellenbrook@yahoo.com.br,"['008372', '081581', '27/08/2019', '522.00', '102', 'Singular(F)']","['0R3015', '081139', '12/08/2019', '302.00', '61', 'Singular(F)']","['007172', '080122', '17/07/2019', '81.21', '51', 'Singular(F)']","['006769', '079468', '27/06/2019', '33.91', '21', 'Singular(F)']","['006616', '002622', '19/06/2019', '67.52', '41', 'FIO FANTASIA']","['006405', '078913', '06/06/2019', '100.10', '41', 'Singular(F)']","['EB6407', '078912', '06/06/2019', '92.00', '41', 'Singular(F)']","['0Q6394', '002311', '02/04/2019', '67.00', '31', 'FIO FANTASIA']","['0Q6396', '002702', '26/03/2019', '101.10', '41', 'FIBRA FANTASIA']","['0Q6395', '002715', '26/03/2019', '71.70', '31', 'FIBRA FANTASIA']","['0Q6275', '077230', '12/03/2019', '924.50', '172', 'Singular(F)']","['0Q6276', '077099', '01/03/2019', '314.50', '61', 'Singular(F)']","['003336', '076951', '26/02/2019', '190.50', '91', 'Singular(F)']","['EB2856', '076489', '13/02/2019', '108.20', '21', 'Singular(F)']","['B83148', '002433', '29/01/2019', '625.00', '122', 'FIBRA FANTASIA']","['EB1499', '002388', '24/01/2019', '321.00', '61', 'FIBRA FANTASIA']","['B88351', '075671', '24/01/2019', '639.50', '112', 'Singular(F)']","['EL1500', '075583', '23/01/2019', '281.00', '51', 'Singular(F)']","['0Q4154', '002105', '21/01/2019', '333.00', '51', 'FIO FANTASIA']","['0Q4155', '075063', '14/01/2019', '310.50', '61', 'Singular(F)']","['0EB672', '074697', '13/12/2018', '362.50', '71', 'Singular(F)']","['0EB676', '074712', '13/12/2018', '208.00', '41', 'Singular(F)']","['0BE559', '074482', '07/12/2018', '251.50', '51', 'Singular(F)']","['0EB514', '074349', '05/12/2018', '314.50', '61', 'Singular(F)']","['0EB513', '074356', '05/12/2018', '104.00', '21', 'Singular(F)']","['00E494', '074314', '04/12/2018', '313.40', '61', 'Singular(F)']","['B83108', '074246', '04/12/2018', '239.00', '41', 'Singular(F)']","['0Q4153', '074292', '04/12/2018', '268.00', '51', 'Singular(F)']","['0Q4151', '074154', '03/12/2018', '347.00', '61', 'Singular(F)']","['B78806', '072061', '10/09/2018', '102.80', '21', 'Singular(F)']","['B78807', '071962', '05/09/2018', '529.10', '81', 'Singular(F)']","['0P4320', '001696', '07/08/2018', '249.50', '51', 'FIO FANTASIA']","['B58226', '002032', '27/07/2018', '491.00', '91', 'FIBRA FANTASIA']","['B58228', '002031', '27/07/2018', '252.00', '41', 'FIBRA FANTASIA']","['B58225', '002030', '27/07/2018', '206.00', '41', 'FIBRA FANTASIA']","['0P4321', '002003', '24/07/2018', '336.00', '51', 'FIBRA FANTASIA']","['0P2450', '068667', '12/04/2018', '410.00', '81', 'Singular(F)']","['0P1951', '004276', '11/04/2018', '249.00', '41', 'Intercommerce(F)']","['0P2455', '068534', '05/04/2018', '270.70', '51', 'Singular(F)']","['0P2454', '068473', '03/04/2018', '267.80', '51', 'Singular(F)']","['0P2177', '068421', '02/04/2018', '227.70', '41', 'Singular(F)']","['B63250', '004025', '19/03/2018', '121.00', '31', 'Intercommerce(F)']","['0P2176', '068124', '19/03/2018', '516.80', '91', 'Singular(F)']","['B63206', '003913', '12/03/2018', '702.00', '192', 'Intercommerce(F)']","['B70671', '066610', '16/11/2017', '407.70', '81', 'Singular(F)']","['B74720', '002448', '16/11/2017', '367.70', '172', 'Intercommerce(F)']","['0N4257', '046974', '23/10/2017', '462.90', '91', 'Singular']","['B64325', '001761', '25/09/2017', '103.90', '51', 'Intercommerce(F)']",,,2019-08-27
630,ELLOUVA,CONFECCOES ELLOUVA LTDA,"RUA JOSÉ PAULINO, 682684",BOM RETIRO,SÃO PAULO,SP,01120-000,11 / 3362-8783 / 3222-2234,02.096.619/0001-77,114.833.320.118,,,"['0K9510', '031060', '29/04/2015', '153.50', '31', 'Singular']","['0K9509', '030567', '06/04/2015', '165.10', '41', 'Singular']","['0K9542', '030517', '06/04/2015', '312.50', '51', 'Singular']","['B18047', '023850', '20/03/2015', '334.20', '71', 'Intercommerce']","['B18045', '051247', '20/03/2015', '1000.10', '242', 'Singular(F)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-29
635,EMELU CRIACOES,EMELU CREACOES LTDA,"RUA MAQUEROBI, 201",SAUDE,SAO PAULO,SP,04053-030,011 / 5589.3726 / 5589.6558,57.255.341/0001-25,111.795.446.115,,contas@emelu.com.br,"['1447GE', '050776', '02/03/2015', '105.00', '21', 'Singular(F)']","['B22268', '028646', '13/01/2015', '303.00', '51', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-02
641,EMPORIO DE SEDAS,EMPORIO DE SEDAS S/A,"RUA VOLUNTARIOS DA PATRIA, 341",CENTRO,PORTO ALEGRE,RS,90030-003,51 / 3224-2154 / 3225-2177,92.757.764/0001-44,096/0083464,,nfe@emporiodesedas.com.br,"['012021', '070009', '04/12/2019', '499.00', '91', 'Singular']","['2001AA', '069901', '29/11/2019', '172.80', '71', 'Singular']","['011821', '084835', '28/11/2019', '274.50', '51', 'Singular(F)']","['0R3953', '069225', '05/11/2019', '59.50', '31', 'Singular']","['0R3950', '043956', '08/10/2019', '217.40', '41', 'Intercommerce']","['0R3951', '043824', '20/09/2019', '114.00', '21', 'Intercommerce']","['008821', '082180', '12/09/2019', '100.00', '21', 'Singular(F)']","['008820', '067756', '11/09/2019', '20.00', '11', 'Singular']","['005380', '064488', '26/04/2019', '448.00', '162', 'Singular']","['ES5381', '078293', '26/04/2019', '283.50', '91', 'Singular(F)']","['ES5078', '078055', '15/04/2019', '834.50', '142', 'Singular(F)']","['005077', '064255', '12/04/2019', '374.60', '91', 'Singular']","['03007A', '041933', '18/02/2019', '155.00', '31', 'Intercommerce']","['ES2694', '076403', '13/02/2019', '293.50', '61', 'Singular(F)']","['02693A', '062391', '12/02/2019', '170.00', '31', 'Singular']","['ES2554', '076288', '11/02/2019', '110.00', '21', 'Singular(F)']","['02553S', '062179', '08/02/2019', '362.00', '61', 'Singular']","['ES2373', '076145', '07/02/2019', '300.10', '61', 'Singular(F)']","['0Q2815', '061777', '29/01/2019', '151.30', '71', 'Singular']","['0Q3221', '041225', '30/11/2018', '113.00', '21', 'Intercommerce']","['0ES646', '073314', '30/10/2018', '501.90', '112', 'Singular(F)']","['0ES653', '073267', '26/10/2018', '922.80', '162', 'Singular(F)']","['000604', '072178', '17/09/2018', '50.00', '11', 'Singular(F)']","['602000', '056969', '13/09/2018', '211.50', '41', 'Singular']","['E5525A', '069407', '17/05/2018', '237.20', '41', 'Singular(F)']","['0EM524', '004571', '17/05/2018', '456.20', '91', 'Intercommerce(F)']","['514000', '051368', '10/05/2018', '185.00', '31', 'Singular']","['513000', '004526', '10/05/2018', '1161.80', '272', 'Intercommerce(F)']","['E51500', '069295', '10/05/2018', '47.00', '11', 'Singular(F)']","['473000', '004075', '23/03/2018', '146.00', '51', 'Intercommerce(F)']","['475000', '068275', '23/03/2018', '111.80', '21', 'Singular(F)']","['000474', '050051', '21/03/2018', '354.00', '61', 'Singular']","['402000', '048411', '31/01/2018', '319.50', '102', 'Singular']","['401000', '067290', '31/01/2018', '159.80', '51', 'Singular(F)']","['400000', '003369', '31/01/2018', '175.30', '142', 'Intercommerce(F)']","['0N8091', '038483', '10/01/2018', '50.00', '11', 'Intercommerce']","['0N8089', '037795', '21/11/2017', '119.30', '31', 'Intercommerce']","['829000', '002471', '16/11/2017', '21.90', '21', 'Intercommerce(F)']","['828000', '037740', '16/11/2017', '20.30', '11', 'Intercommerce']","['827000', '047306', '16/11/2017', '81.50', '112', 'Singular']","['0N8090', '047252', '09/11/2017', '58.00', '11', 'Singular']","['79900E', '047069', '27/10/2017', '231.00', '41', 'Singular']","['98000A', '037418', '27/10/2017', '109.20', '21', 'Intercommerce']","['0N8088', '046808', '20/10/2017', '196.00', '41', 'Singular']","['65800A', '033906', '23/05/2017', '256.60', '41', 'Intercommerce']","['65800B', '033907', '23/05/2017', '146.10', '21', 'Intercommerce']","['ANA625', '063968', '27/03/2017', '145.90', '71', 'Singular(F)']","['626000', '042685', '27/03/2017', '81.30', '41', 'Singular']",,,2019-12-04
662,ERRE ERRE,ERRE ERRE CONFECCOES LTDA,"RUA AIMORÉS, 264",BOM RETIRO,SÃO PAULO,SP,01122-010,011 / 3234-9988 / 3221-9619,54.904.388/0003-46,115.215.685.118,,erre.bomretiro@gmail.com,"['B74727', '002477', '17/11/2017', '655.00', '102', 'Intercommerce(F)']","['74721B', '002466', '16/11/2017', '399.00', '81', 'Intercommerce(F)']","['0K8928', '031106', '29/04/2015', '616.00', '112', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-17
666,ESMERAL,CONFECCAO ESMERAL LTDA,"RUA PROF. CESARE LOMBROSO, 166",BOM RETIRO,SÃO PAULO,SP,01122-020,011 / 3222-9500 / 3222-5582,53.398.301/0001-81,111.024.069.119,,cesmeral166@gmail.com,"['S1084A', '072708', '12/01/2021', '2050.00', '332', 'Singular']","['R9697A', '072717', '12/01/2021', '1530.00', '312', 'Singular']","['0R9699', '090908', '16/11/2020', '2415.40', '362', 'Singular(F)']","['0R9698', '090902', '16/11/2020', '2040.50', '382', 'Singular(F)']","['018795', '044785', '07/10/2020', '3068.00', '502', 'Intercommerce']","['R8473A', '072582', '02/10/2020', '1100.00', '212', 'Singular']","['018350', '044624', '18/09/2020', '1342.80', '262', 'Intercommerce']","['018256', '044611', '17/09/2020', '404.00', '61', 'Intercommerce']","['R8475A', '072401', '10/08/2020', '6385.00', '1053', 'Singular']","['0R8475', '072392', '07/08/2020', '6385.00', '1203', 'Singular']","['0R5994', '070760', '21/01/2020', '1536.00', '242', 'Singular']","['0R1689', '081719', '02/09/2019', '1010.50', '162', 'Singular(F)']","['0Q7386', '080045', '15/07/2019', '2021.50', '392', 'Singular(F)']","['0R1687', '079988', '12/07/2019', '1506.50', '282', 'Singular(F)']","['0Q7388', '079846', '05/07/2019', '1496.00', '252', 'Singular(F)']","['0Q7385', '079636', '01/07/2019', '3089.00', '542', 'Singular(F)']","['0Q5106', '078103', '17/04/2019', '1879.50', '952', 'Singular(F)']","['0Q6126', '078122', '17/04/2019', '2790.00', '1403', 'Singular(F)']","['ES3648', '077158', '07/03/2019', '1080.00', '152', 'Singular(F)']","['0Q5096', '076586', '15/02/2019', '1226.00', '222', 'Singular(F)']","['0Q3680', '076350', '12/02/2019', '1214.00', '182', 'Singular(F)']","['01901S', '075955', '01/02/2019', '3438.00', '522', 'Singular(F)']","['001591', '061542', '24/01/2019', '1898.00', '322', 'Singular']","['ES1592', '075652', '24/01/2019', '1172.00', '212', 'Singular(F)']","['0Q3679', '074051', '30/11/2018', '925.00', '162', 'Singular(F)']","['0Q3862', '074074', '30/11/2018', '1590.00', '252', 'Singular(F)']","['0P9079', '073596', '12/11/2018', '1218.90', '242', 'Singular(F)']","['B76495', '072235', '18/09/2018', '809.00', '182', 'Singular(F)']","['0P6966', '055880', '27/08/2018', '264.50', '272', 'Singular']","['0P1274', '054442', '31/07/2018', '806.00', '152', 'Singular']","['0P4608', '053902', '20/07/2018', '809.00', '122', 'Singular']","['0P4607', '053785', '19/07/2018', '832.00', '132', 'Singular']","['0P6963', '053449', '17/07/2018', '1002.50', '152', 'Singular']","['0P4609', '052892', '06/07/2018', '609.00', '122', 'Singular']","['0P4610', '051526', '18/05/2018', '730.80', '152', 'Singular']","['B72249', '068957', '24/04/2018', '2.00', '11', 'Singular(F)']","['B72237', '040407', '03/04/2018', '1020.00', '142', 'Intercommerce']","['B72217', '040299', '20/03/2018', '3.00', '11', 'Intercommerce']","['ESM001', '040245', '14/03/2018', '11.30', '11', 'Intercommerce']","['0P1272', '049644', '09/03/2018', '831.20', '172', 'Singular']","['0N7349', '038864', '19/01/2018', '966.50', '172', 'Intercommerce']","['0N7350', '048066', '12/01/2018', '1787.80', '262', 'Singular']","['0N7352', '038477', '10/01/2018', '790.50', '162', 'Intercommerce']","['0N7345', '038475', '10/01/2018', '1013.00', '172', 'Intercommerce']","['0N7331', '047990', '09/01/2018', '606.00', '132', 'Singular']","['B65119', '047618', '04/12/2017', '2.00', '11', 'Singular']","['0N7342', '047261', '09/11/2017', '600.40', '132', 'Singular']","['0N7334', '037148', '09/10/2017', '998.50', '202', 'Intercommerce']",,,2021-01-12
683,ETRANGE CONF.,CONFECÇÕES ETRANGE LTDA,"RUA JOSÉ PAULINO, 6912. AND SALAO 162",BOM RETIRO,SÃO PAULO,SP,01120-001,11 / 3223-1966 / 3221-6475,65.893.869/0001-58,113.108.482.111,,etrangeconfeccao@hotmail.com,"['012392', '085318', '13/12/2019', '62.00', '11', 'Singular(F)']","['012391', '085312', '13/12/2019', '435.00', '91', 'Singular(F)']","['0R3546', '082892', '03/10/2019', '521.50', '272', 'Singular(F)']","['0R1600', '080698', '01/08/2019', '320.30', '71', 'Singular(F)']","['0R1570', '080422', '24/07/2019', '412.00', '71', 'Singular(F)']","['B90027', '002382', '17/04/2019', '20.00', '11', 'FIO FANTASIA']","['ET3557', '077105', '01/03/2019', '262.00', '51', 'Singular(F)']","['ET3046', '076686', '19/02/2019', '57.60', '11', 'Singular(F)']","['03047A', '076687', '19/02/2019', '59.10', '11', 'Singular(F)']","['B80985', '075067', '14/01/2019', '327.00', '51', 'Singular(F)']","['B76977', '002144', '30/08/2018', '293.50', '61', 'FIBRA FANTASIA']","['0P9998', '002136', '30/08/2018', '492.00', '102', 'FIBRA FANTASIA']","['0P9391', '001806', '27/08/2018', '1017.70', '192', 'FIO FANTASIA']","['0P9437', '071658', '23/08/2018', '519.10', '91', 'Singular(F)']","['0P4758', '001751', '20/08/2018', '339.00', '71', 'FIO FANTASIA']","['0P5880', '001806', '25/06/2018', '483.00', '91', 'FIBRA FANTASIA']","['0P1802', '001783', '13/06/2018', '311.00', '51', 'FIBRA FANTASIA']","['0P1598', '001798', '13/06/2018', '400.70', '61', 'FIBRA FANTASIA']","['0P4769', '051985', '11/06/2018', '297.00', '71', 'Singular']","['0P4763', '001743', '11/06/2018', '313.00', '51', 'FIBRA FANTASIA']","['B44599', '069487', '21/05/2018', '2.00', '11', 'Singular(F)']","['0P1603', '001728', '21/05/2018', '415.50', '61', 'FIBRA FANTASIA']","['B38950', '069095', '02/05/2018', '2.00', '11', 'Singular(F)']","['0P1601', '001707', '27/04/2018', '474.60', '91', 'FIBRA FANTASIA']","['B38919', '068933', '23/04/2018', '592.20', '132', 'Singular(F)']","['B72240', '001674', '05/04/2018', '815.80', '172', 'FIBRA FANTASIA']","['0P1600', '001293', '04/04/2018', '521.40', '112', 'FIO FANTASIA']","['0P1599', '001672', '02/04/2018', '235.00', '51', 'FIBRA FANTASIA']","['0P0298', '001622', '16/02/2018', '410.50', '91', 'FIBRA FANTASIA']","['0N7358', '001129', '09/01/2018', '499.40', '102', 'FIO FANTASIA']","['0N7363', '001125', '20/12/2017', '311.00', '61', 'FIO FANTASIA']","['B65114', '002644', '29/11/2017', '11.50', '51', 'Intercommerce(F)']","['0N8520', '001478', '22/11/2017', '74.30', '31', 'FIBRA FANTASIA']","['B70755', '002106', '24/10/2017', '13.10', '21', 'Intercommerce(F)']","['0N6358', '000991', '02/10/2017', '106.00', '21', 'FIO FANTASIA']","['0N6359', '000969', '20/09/2017', '364.50', '71', 'FIO FANTASIA']","['B67619', '001097', '04/08/2017', '290.00', '71', 'Intercommerce(F)']","['B67603', '000950', '02/08/2017', '180.20', '81', 'FIO FANTASIA']","['0N3629', '001170', '25/07/2017', '379.90', '81', 'FIBRA FANTASIA']","['B68759', '000661', '07/07/2017', '41.60', '41', 'Intercommerce(F)']","['0N1275', '000823', '20/06/2017', '236.00', '41', 'FIO FANTASIA']","['0N1868', '001061', '19/06/2017', '133.80', '122', 'FIBRA FANTASIA']","['0N1265', '001028', '19/06/2017', '439.00', '71', 'FIBRA FANTASIA']","['0N1480', '000375', '09/06/2017', '459.00', '81', 'Intercommerce(F)']","['0N1481', '000332', '07/06/2017', '475.00', '81', 'Intercommerce(F)']","['B69444', '065247', '02/06/2017', '498.40', '112', 'Singular(F)']","['0N0606', '000955', '18/05/2017', '77.80', '71', 'FIBRA FANTASIA']","['B64685', '064913', '12/05/2017', '56.10', '51', 'Singular(F)']",,,2019-12-13
692,EXPO FASHION,CONFECCOES EXPO FASHION LTDA,"RUA MARIA MARCOLINA, 274",BRAS,SAO PAULO,SP,03011-000,011 / 66924280 / ,58.941.246/0001-48,111.959.174.118,,jjsookim@yahoo.com.br,"['020797', '000217', '01/03/2021', '1135.50', '212', 'PURA FIBRA']","['020503', '045644', '12/02/2021', '783.00', '182', 'Intercommerce']","['020507', '091612', '12/02/2021', '598.50', '122', 'Singular(F)']","['016827', '089105', '31/07/2020', '212.00', '51', 'Singular(F)']","['012193', '085150', '06/12/2019', '2543.00', '492', 'Singular(F)']","['011494', '069711', '22/11/2019', '371.00', '71', 'Singular']","['010873', '084252', '11/11/2019', '2406.50', '432', 'Singular(F)']","['009671', '082999', '07/10/2019', '118.00', '21', 'Singular(F)']","['009672', '083002', '07/10/2019', '557.00', '91', 'Singular(F)']","['007623', '080764', '02/08/2019', '96.20', '41', 'Singular(F)']","['0E7622', '080738', '01/08/2019', '83.40', '81', 'Singular(F)']","['007557', '080683', '31/07/2019', '484.00', '91', 'Singular(F)']","['007555', '080682', '31/07/2019', '1042.40', '212', 'Singular(F)']","['EP5864', '078545', '13/05/2019', '357.00', '61', 'Singular(F)']","['005866', '042538', '13/05/2019', '226.50', '41', 'Intercommerce']","['005865', '064687', '13/05/2019', '633.50', '122', 'Singular']","['EF4216', '077517', '22/03/2019', '1004.00', '172', 'Singular(F)']","['004215', '063647', '22/03/2019', '799.00', '122', 'Singular']","['EF3116', '076737', '20/02/2019', '481.00', '71', 'Singular(F)']","['EF3115', '076738', '20/02/2019', '444.00', '71', 'Singular(F)']","['B77414', '073500', '07/11/2018', '541.50', '102', 'Singular(F)']","['B77415', '059115', '06/11/2018', '325.00', '61', 'Singular']","['B77416', '041156', '06/11/2018', '509.00', '102', 'Intercommerce']","['B53681', '000151', '19/05/2017', '417.80', '71', 'Intercommerce(F)']","['B53683', '033869', '19/05/2017', '219.00', '31', 'Intercommerce']","['B53682', '043625', '19/05/2017', '192.50', '31', 'Singular']","['B59234', '064051', '29/03/2017', '1210.10', '232', 'Singular(F)']","['B51608', '058968', '13/06/2016', '63.30', '31', 'Singular(F)']","['B49825', '058936', '10/06/2016', '105.40', '51', 'Singular(F)']","['B49817', '058874', '07/06/2016', '140.60', '81', 'Singular(F)']","['B49815', '058771', '02/06/2016', '123.60', '71', 'Singular(F)']","['B50204', '058535', '13/05/2016', '281.00', '61', 'Singular(F)']","['2881AA', '058482', '11/05/2016', '827.47', '142', 'Singular(F)']","['2880AA', '058481', '11/05/2016', '1383.90', '282', 'Singular(F)']","['B37898', '036595', '12/04/2016', '428.00', '81', 'Singular']","['B37867', '057559', '10/03/2016', '101.16', '51', 'Singular(F)']","['B19886', '034540', '02/10/2015', '503.00', '102', 'Singular']","['B19875', '025506', '16/09/2015', '326.50', '71', 'Intercommerce']","['B19862', '054399', '14/08/2015', '206.50', '51', 'Singular(F)']","['B19849', '054274', '07/08/2015', '314.00', '61', 'Singular(F)']","['B19845', '054155', '30/07/2015', '40.00', '61', 'Singular(F)']","['B19844', '025153', '29/07/2015', '510.50', '122', 'Intercommerce']","['B12835', '051794', '15/04/2015', '442.40', '81', 'Singular(F)']","['B12837', '024242', '10/04/2015', '41.60', '21', 'Intercommerce']","['B19759', '030141', '18/03/2015', '204.50', '41', 'Singular']","['B19756', '030132', '18/03/2015', '68.60', '31', 'Singular']","['BB1957', '023789', '18/03/2015', '272.30', '132', 'Intercommerce']","['B19758', '051163', '18/03/2015', '511.00', '102', 'Singular(F)']",,,2021-03-01
693,EXPRESSO JEANS,EXPRESSO JEANS CONFECÇÕES LTDA -ME,"AVENIDA INDEPENDENCIA, 5225QD 66A - LT09",SETOR AEROPORTO,GOIANIA,GO,74070-010,62 / 3212-3065 / 3223-6482,01.767.869/0001-29,10.293.826-1,,estilomtzco@gmail.com										estilomtzco@gmail.c,"['81651A', '059059', '05/11/2018', '3.00', '11', 'Singular']","['081651', '058873', '30/10/2018', '6.00', '21', 'Singular']","['EDM005', 'Corte', '01/10/2018', '6.00', '31', 'Singular']","['EDM028', '062728', '01/02/2017', '49.00', '11', 'Singular(F)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-05
700,F.F. FASHION,F.F. FASHION FACTORY LTDA EPP,"RUA DOS ITALIANOS, 147",BOM RETIRO,SÃO PAULO,SP,01131-000,11 / 3362-0134 / ,04.425.154/0001-86,116.135.072.115,,ff.fashionfactory@hotmail.com,"['B94157', '044413', '25/08/2020', '357.00', '61', 'Intercommerce']","['017492', 'Corte', '24/08/2020', '2.00', '11', 'Intercommerce']","['017493', 'Corte', '24/08/2020', '2.00', '11', 'Singular(F)']","['012438', '085360', '17/12/2019', '537.00', '102', 'Singular(F)']","['011282', '084527', '19/11/2019', '4129.50', '742', 'Singular(F)']","['011087', '084330', '12/11/2019', '822.50', '162', 'Singular(F)']","['011088', '003137', '12/11/2019', '200.10', '41', 'FIBRA FANTASIA']","['B92246', '083783', '30/10/2019', '1557.20', '332', 'Singular(F)']","['0Q7089', '079201', '25/06/2019', '1231.00', '232', 'Singular(F)']","['0Q7091', '002661', '25/06/2019', '743.50', '132', 'FIO FANTASIA']","['004343', '002701', '26/03/2019', '315.00', '61', 'FIBRA FANTASIA']","['0Q7090', '002631', '22/03/2019', '400.60', '71', 'FIBRA FANTASIA']","['0Q5537', '077092', '01/03/2019', '1708.10', '312', 'Singular(F)']","['002179', '002473', '05/02/2019', '492.70', '91', 'FIBRA FANTASIA']","['B83245', '002423', '28/01/2019', '191.70', '31', 'FIBRA FANTASIA']","['B83244', '002404', '28/01/2019', '1006.80', '202', 'FIBRA FANTASIA']","['0Q2119', '075479', '21/01/2019', '609.50', '122', 'Singular(F)']","['0Q2123', '074394', '07/12/2018', '516.50', '122', 'Singular(F)']","['0Q4080', '074121', '03/12/2018', '1555.30', '292', 'Singular(F)']","['0Q2121', '002249', '15/10/2018', '608.50', '152', 'FIBRA FANTASIA']","['0P7283', '001945', '05/10/2018', '1103.70', '232', 'FIO FANTASIA']","['0P7282', '001869', '03/09/2018', '411.80', '81', 'FIO FANTASIA']","['0P7281', '001732', '20/08/2018', '607.10', '132', 'FIO FANTASIA']","['0P7277', '002105', '20/08/2018', '614.00', '102', 'FIBRA FANTASIA']","['0P9110', '002072', '17/08/2018', '589.50', '102', 'FIBRA FANTASIA']","['B32285', '002055', '02/08/2018', '504.50', '102', 'FIBRA FANTASIA']","['0P7280', '001613', '31/07/2018', '403.00', '61', 'FIO FANTASIA']","['0P7276', '001976', '24/07/2018', '617.00', '122', 'FIBRA FANTASIA']","['0P7279', '070509', '16/07/2018', '250.00', '51', 'Singular(F)']",,,,,,,,,,,,,,,,,,,,,,2020-08-25
705,FABIANA MILAZZO,FABIANA MILAZZO IND. E COM. LTDA,"AV. RONDON PACHECO, 405",COPACABANA,UBERLANDIA,MG,38400-050,34 / 3231.6541 / ,03.757.675/0001-78,702.075.208.0009,,fabiana@fabianamilazzo.com.br,"['002504', '031178', '30/04/2015', '46.50', '11', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-30
709,FAMA,FAMA FASHION CREACOES LTDA - EPP,"RUA PROF. CESARE LOMBROSO, 193",BOM RETIRO,SÃO PAULO,SP,01120-020,11 / 3331-4175 / 3223-5186,54.451.398/0001-01,111.194.070.110,,famafashioncreacoes@gmail.com,"['B80307', '073046', '17/10/2018', '301.80', '61', 'Singular(F)']","['B38025', 'Corte', '29/05/2018', '2.00', '11', 'Intercommerce(F)']","['0M5647', '041807', '08/02/2017', '445.00', '102', 'Singular']","['0L1456', '053252', '24/06/2015', '411.50', '81', 'Singular(F)']","['B28504', '030800', '16/04/2015', '223.40', '162', 'Singular']","['B16450', '023465', '05/03/2015', '219.50', '51', 'Intercommerce']","['B20711', '029810', '05/03/2015', '201.50', '51', 'Singular']","['B16406', '050436', '09/02/2015', '118.00', '31', 'Singular(F)']","['B16405', '023154', '06/02/2015', '902.50', '212', 'Intercommerce']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-17
